,gddid,true_false,should_coords?,title,Notes,no?,yes?,maybe?,,Summary of papers w/ IRD found,n,%
1,54b43248e138239d86849eb0,FALSE,no,Reconstruction of the Late Miocene climate of Spain using rodent palaeocommunity successions: an application of end-member modelling,IRD mentioned in dicussion as occurring during a paleoecological event.,1,0,0,,yes,14,0.170731707
2,54b43249e138239d8684a1d6,FALSE,no,Biostratigraphic characterization and Quaternary microfossil palaeoecology in sediment drifts west of the Antarctic Peninsula äóñ implications for cyclic glacialäóñinterglacial deposition,"Mentions IRD as being in the cores, but are investigating microsfossil abundances, no coordinates.",1,0,0,,maybe,17,0.207317073
3,54b4324be138239d8684a636,FALSE,no,"Modelling iceberg trajectories, sedimentation rates and meltwater input to the ocean from the Eurasian Ice Sheet at the Last Glacial Maximum",Modeling paper that mentions IRD.,1,0,0,,no ,51,0.62195122
4,54b4324ee138239d8684aefa,TRUE,no,"Mid-Pliocene to Recent abyssal current flow along the Antarctic Peninsula: Results from ODP Leg 178, Site 1101","ODP core, mentions another papers reported IRD date.",1,0,0,,,,
5,54b43250e138239d8684b26f,TRUE,no,Millennial-scale fluctuations in seasonal sea-ice and deep-water formation in the Japan Sea during the late Quaternary,Good,1,0,0,,,,
6,54b43266e138239d8684f0b3,FALSE,no,"Late Holocene paleoenvironment in northern New Caledonia, southwestern Pacific, from a multiproxy analysis of lake sediments",IRD in Acknowledgements and references,1,0,0,,"yes = finds IRD but no coordinates, but has them and we need to get them",,
7,54b43266e138239d8684f1fd,TRUE,no,The Stability and the Abrupt Ending of the Last Interglaciation in Southeastern Siberia,Good,1,0,0,,"maybe = mentions IRD in the paper w/ times, but not always with coordinates and IRD generally not the focus of the paper",,
8,54b43266e138239d8684f23e,TRUE,no,Late Quaternary Iceberg Rafting along the Antarctic Peninsula Continental Rise and in the Weddell and Scotia Seas,"Good, need to fix coordinates",1,0,0,,"no = either finds IRD and coordinates, or finds IRD and shouldn't find coordinates",,
9,54b43267e138239d8684f409,FALSE,no,"Reply to Comment of Lars Forsstrí_m on äóìReflection of Scandinavian Ice Sheet Fluctuations in Norwegian Sea Sediments during the Past 150,000 Yearsäóù by Karl-Heinz Baumann, Klas S. Lackschewitz, Jan Mangerud, Robert F. Spielhagen, Thomas C. W. Wolf-Welling, Rí_diger Henrich, and Heidemarie Kassens","A reply to a paper that reports IRD. IRD and dates are mentioned, but no coordinate information exists. ",1,0,0,,,,
10,54b43277e138239d86851ff6,FALSE,maybe,Glacimarine sedimentary processes and depositional environments in an embayment fed by West Greenland ice streams,"Check into this one more closely. Doesn't have dates, but has cores and geophysical data and discusses IRD.",0,0,1,,,,
